City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Constitucion,CL,-35.3333,-72.4167,60.96,64,0,9.86,clear sky
1,Baiyin,CN,36.5583,104.2081,42.8,93,75,8.95,light rain
2,Lavrentiya,RU,65.5833,-171.0,32.47,74,29,0.96,scattered clouds
3,Yerbogachen,RU,61.2767,108.0108,27.82,87,95,6.49,overcast clouds
4,Guiyang,CN,26.5833,106.7167,71.6,78,75,4.47,broken clouds
5,Evensk,RU,61.95,159.2333,28.96,97,100,5.68,snow
6,Andros Town,BS,24.7,-77.7667,82.4,61,75,17.27,broken clouds
7,Bethel,US,41.3712,-73.414,61.0,21,1,17.27,clear sky
8,Joshimath,IN,30.5667,79.5667,47.21,80,96,2.8,overcast clouds
9,Manta,EC,-0.95,-80.7333,80.6,78,75,6.91,broken clouds
10,Poum,NC,-20.2333,164.0167,78.55,79,92,7.99,overcast clouds
11,Los Llanos De Aridane,ES,28.6585,-17.9182,69.8,64,40,4.61,scattered clouds
12,Albany,US,42.6001,-73.9662,60.01,21,5,8.01,clear sky
13,Isagarh,IN,24.8333,77.8833,85.6,16,96,14.09,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,79.09,67,100,17.78,overcast clouds
15,Praia Da Vitoria,PT,38.7333,-27.0667,59.0,67,40,35.05,scattered clouds
16,Lorengau,PG,-2.0226,147.2712,79.88,77,93,3.85,overcast clouds
17,Ushuaia,AR,-54.8,-68.3,42.8,87,75,2.3,broken clouds
18,Ribeira Grande,PT,38.5167,-28.7,59.0,72,40,28.77,scattered clouds
19,Hermanus,ZA,-34.4187,19.2345,59.0,82,99,1.01,overcast clouds
20,Cockburn Town,TC,21.4612,-71.1419,82.4,65,40,9.22,scattered clouds
21,Mount Gambier,AU,-37.8333,140.7667,48.2,100,40,8.05,scattered clouds
22,East London,ZA,-33.0153,27.9116,65.05,76,10,10.63,clear sky
23,Barrow,US,71.2906,-156.7887,17.6,79,1,6.91,clear sky
24,Arraial Do Cabo,BR,-22.9661,-42.0278,75.2,78,0,19.57,clear sky
25,Mataura,NZ,-46.1927,168.8643,45.0,95,53,1.99,broken clouds
26,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.8,57,0,9.22,clear sky
27,Newport,GB,51.5877,-2.9984,51.8,42,97,11.5,overcast clouds
28,Bubaque,GW,11.2833,-15.8333,78.33,71,2,17.36,clear sky
29,Ponta Do Sol,PT,32.6667,-17.1,57.99,83,47,1.99,scattered clouds
30,Yellowknife,CA,62.456,-114.3525,16.0,53,75,11.5,broken clouds
31,Jamestown,US,42.097,-79.2353,53.6,32,1,16.11,clear sky
32,Sibolga,ID,1.7427,98.7792,75.65,88,100,2.86,overcast clouds
33,Vaini,TO,-21.2,-175.2,80.6,89,20,2.3,few clouds
34,New Norfolk,AU,-42.7826,147.0587,51.01,86,97,9.04,light rain
35,Pacific Grove,US,36.6177,-121.9166,62.01,55,40,12.66,scattered clouds
36,Carnarvon,AU,-24.8667,113.6333,62.6,88,0,5.75,clear sky
37,Saint-Raymond,CA,45.467,-73.6095,59.0,26,66,3.44,broken clouds
38,Sao Filipe,CV,14.8961,-24.4956,72.34,73,47,10.07,scattered clouds
39,Atuona,PF,-9.8,-139.0333,80.11,80,28,22.08,light rain
40,Hovd,MN,48.0056,91.6419,30.16,48,0,3.22,clear sky
41,San Matias,BO,-16.3667,-58.4,89.56,37,21,5.84,few clouds
42,Haines Junction,CA,60.7522,-137.5108,48.2,29,9,5.75,clear sky
43,Wasilla,US,61.5814,-149.4394,55.4,30,1,8.05,clear sky
44,Kununurra,AU,-15.7667,128.7333,66.2,68,70,4.61,broken clouds
45,Cidreira,BR,-30.1811,-50.2056,70.61,77,1,17.85,clear sky
46,Cape Town,ZA,-33.9258,18.4232,61.0,94,0,3.44,clear sky
47,Kruisfontein,ZA,-34.0033,24.7314,60.01,88,5,3.0,clear sky
48,Linjiang,CN,41.8069,126.9078,50.23,67,100,2.1,overcast clouds
49,Broome,US,42.2506,-75.833,60.01,32,1,17.27,clear sky
50,De Aar,ZA,-30.6497,24.0123,63.39,28,0,5.08,clear sky
51,Georgetown,MY,5.4112,100.3354,78.8,89,40,3.44,scattered clouds
52,Saint George,US,37.1041,-113.5841,80.01,10,1,17.27,clear sky
53,Kasama,ZM,-10.2129,31.1808,58.77,97,2,4.09,clear sky
54,Xining,CN,36.6167,101.7667,42.57,92,100,4.52,overcast clouds
55,Chokurdakh,RU,70.6333,147.9167,-6.41,97,80,1.99,broken clouds
56,Hobart,AU,-42.8794,147.3294,51.8,71,40,10.36,scattered clouds
57,Yatou,CN,37.15,122.3833,49.6,91,100,10.29,overcast clouds
58,Upernavik,GL,72.7868,-56.1549,32.94,77,100,6.42,overcast clouds
59,Qaanaaq,GL,77.484,-69.3632,23.31,82,100,5.19,overcast clouds
60,Lucera,IT,41.5082,15.3351,57.2,77,75,9.22,broken clouds
61,Kodiak,US,57.79,-152.4072,39.2,87,90,9.22,light rain
62,Camacha,PT,33.0833,-16.3333,66.2,63,75,14.97,broken clouds
63,Kikwit,CD,-5.041,18.8162,72.21,93,100,2.62,light rain
64,Avera,US,33.194,-82.5271,73.4,23,1,4.61,clear sky
65,Saskylakh,RU,71.9167,114.0833,33.58,96,100,18.95,light snow
66,Butaritari,KI,3.0707,172.7902,82.51,75,92,10.85,overcast clouds
67,Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,20,16.11,few clouds
68,Siniscola,IT,40.5719,9.6922,50.0,93,0,2.3,clear sky
69,Port Alfred,ZA,-33.5906,26.891,66.51,73,0,21.39,clear sky
70,Loksa,EE,59.5764,25.7214,36.0,80,40,13.8,scattered clouds
71,Manitouwadge,CA,49.1215,-85.8403,44.6,65,75,4.61,broken clouds
72,Sokolow Podlaski,PL,52.4068,22.2531,37.99,77,76,7.74,broken clouds
73,Aktash,RU,50.3,87.7333,8.74,87,100,3.2,overcast clouds
74,Gemena,CD,3.25,19.7667,70.07,98,99,0.31,overcast clouds
75,Punta Arenas,CL,-53.15,-70.9167,50.0,87,75,5.75,broken clouds
76,Coolum Beach,AU,-26.5333,153.1,62.01,80,22,1.99,few clouds
77,Chuy,UY,-33.6971,-53.4616,67.78,81,23,13.67,few clouds
78,Shimoda,JP,34.6667,138.95,52.0,70,100,3.0,overcast clouds
79,Kaitangata,NZ,-46.2817,169.8464,50.0,82,21,5.01,few clouds
80,Nanortalik,GL,60.1432,-45.2371,36.77,85,17,3.51,few clouds
81,Grand Gaube,MU,-20.0064,57.6608,78.01,79,99,1.99,overcast clouds
82,Egvekinot,RU,66.3167,-179.1667,30.58,71,100,2.53,overcast clouds
83,Port-Cartier,CA,50.0334,-66.8654,37.99,87,83,5.75,broken clouds
84,Misratah,LY,32.3754,15.0925,63.72,86,41,26.46,scattered clouds
85,Vardo,NO,70.3705,31.1107,33.8,69,40,11.5,scattered clouds
86,Iqaluit,CA,63.7506,-68.5145,28.4,93,90,3.44,light snow
87,Bredasdorp,ZA,-34.5322,20.0403,50.0,93,99,4.61,overcast clouds
88,Srednekolymsk,RU,67.45,153.6833,9.63,94,100,17.02,light snow
89,Cherskiy,RU,68.75,161.3,20.75,94,100,7.4,snow
90,Tura,IN,25.5198,90.2201,72.41,33,87,3.38,overcast clouds
91,Kitimat,CA,54.0524,-128.6534,63.0,36,100,1.01,overcast clouds
92,Tilichiki,RU,60.4667,166.1,20.07,85,58,4.65,broken clouds
93,Souillac,MU,-20.5167,57.5167,78.8,78,75,10.36,light rain
94,Maningrida,AU,-12.0667,134.2667,72.1,81,42,10.8,scattered clouds
95,Gillette,US,44.2911,-105.5022,35.6,64,90,10.36,overcast clouds
96,Torbay,CA,47.6666,-52.7314,45.0,65,75,21.85,broken clouds
97,Tuatapere,NZ,-46.1333,167.6833,45.0,95,98,1.99,overcast clouds
98,Milicz,PL,51.5277,17.2714,43.0,70,0,4.61,clear sky
99,Mar Del Plata,AR,-38.0023,-57.5575,75.2,64,75,6.91,broken clouds
100,Busselton,AU,-33.65,115.3333,62.01,74,99,1.01,overcast clouds
101,Loandjili,CG,-4.7561,11.8578,78.87,88,80,2.21,broken clouds
102,Mahebourg,MU,-20.4081,57.7,78.8,78,75,10.36,light rain
103,Geraldton,AU,-28.7667,114.6,59.0,88,90,6.91,overcast clouds
104,Zeya,RU,53.75,127.2667,31.53,54,60,7.78,broken clouds
105,Khatanga,RU,71.9667,102.5,33.06,97,100,21.21,overcast clouds
106,Klaksvik,FO,62.2266,-6.589,42.8,100,20,8.05,few clouds
107,Luang Prabang,LA,19.8856,102.1347,75.72,71,16,2.06,few clouds
108,Castro,BR,-24.7911,-50.0119,59.77,72,6,3.67,clear sky
109,Kahului,US,20.8947,-156.47,80.6,61,40,20.71,scattered clouds
110,Tazovskiy,RU,67.4667,78.7,32.88,98,100,14.29,snow
111,Kapaa,US,22.0752,-159.319,80.6,61,40,14.97,scattered clouds
112,Avarua,CK,-21.2078,-159.775,82.4,74,75,16.11,broken clouds
113,Hervey Bay,AU,-25.2986,152.8535,61.0,77,81,8.05,broken clouds
114,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,67,75,11.5,broken clouds
115,Tiksi,RU,71.6872,128.8694,4.64,98,97,7.18,overcast clouds
116,Scicli,IT,36.7902,14.7014,57.2,88,90,4.61,overcast clouds
117,Guangyuan,CN,32.442,105.823,58.62,89,100,6.78,overcast clouds
118,Goba,ET,7.0167,39.9833,49.51,92,98,3.27,light rain
119,Luderitz,NA,-26.6481,15.1594,63.63,80,46,8.39,scattered clouds
120,Passagem Franca,BR,-6.1797,-43.7836,77.61,83,100,0.81,overcast clouds
121,Cayenne,GF,4.9333,-52.3333,78.01,94,90,3.44,heavy intensity rain
122,Dabakala,CI,8.3667,-4.4333,79.32,71,82,1.41,light rain
123,Buala,SB,-8.145,159.5921,81.54,74,14,2.51,few clouds
124,Coquimbo,CL,-29.9533,-71.3436,64.4,59,75,10.36,broken clouds
125,San Borja,BO,-14.8167,-66.85,80.47,85,40,4.14,scattered clouds
126,Eureka,US,40.8021,-124.1637,61.0,65,100,3.0,overcast clouds
127,Beausoleil,FR,43.749,7.417,63.0,63,20,2.3,few clouds
128,Codrington,AU,-38.2667,141.9667,53.11,88,100,7.52,light rain
129,Ancona,IT,43.55,13.1667,51.01,87,0,3.44,clear sky
130,Thompson,CA,55.7435,-97.8558,26.6,54,90,13.8,light snow
131,Champerico,GT,14.3,-91.9167,91.4,62,75,6.91,broken clouds
132,Abnub,EG,27.2696,31.1511,75.2,31,0,11.5,clear sky
133,Namatanai,PG,-3.6667,152.4333,77.16,86,100,4.09,overcast clouds
134,Bemidji,US,47.4736,-94.8803,39.99,81,90,8.05,overcast clouds
135,La Union,PE,-5.4,-80.75,85.19,43,2,14.65,clear sky
136,Hithadhoo,MV,-0.6,73.0833,81.91,74,8,7.45,clear sky
137,Rawson,AR,-43.3002,-65.1023,60.28,52,2,23.35,clear sky
138,Saint-Philippe,RE,-21.3585,55.7679,77.0,73,75,5.75,light rain
139,Skjervoy,NO,70.0311,20.9714,35.6,69,75,3.44,broken clouds
140,Asau,RO,46.4333,26.4,37.0,67,42,3.0,scattered clouds
141,Sitka,US,57.0531,-135.33,57.2,26,1,4.61,clear sky
142,Guerrero Negro,MX,27.9769,-114.0611,65.3,58,17,20.85,few clouds
143,Maun,BW,-19.9833,23.4167,69.8,49,0,5.75,clear sky
144,Victoria,HK,22.2855,114.1577,79.0,85,14,1.99,few clouds
145,Bindura,ZW,-17.3019,31.3306,61.0,78,4,7.0,clear sky
146,Pochinki,RU,54.6988,44.8668,49.82,71,70,7.18,broken clouds
147,Krasnoselkup,RU,65.7,82.4667,29.57,88,90,17.22,overcast clouds
148,Pedernales,DO,18.0384,-71.744,84.67,57,27,7.54,scattered clouds
149,Laguna,US,38.421,-121.4238,75.0,45,1,11.5,clear sky
150,Nikolskoye,RU,59.7035,30.7861,41.0,75,40,6.71,scattered clouds
151,Amot,NO,59.5714,7.9877,37.0,51,2,3.0,clear sky
152,Maniitsoq,GL,65.4167,-52.9,34.99,75,12,1.88,few clouds
153,Luzilandia,BR,-3.4578,-42.3703,75.87,94,100,3.65,very heavy rain
154,Santa Ana,US,33.7456,-117.8678,66.2,55,75,11.5,broken clouds
155,Provideniya,RU,64.3833,-173.3,39.0,60,89,3.78,overcast clouds
156,Maniwaki,CA,46.3834,-75.966,59.0,25,93,13.8,overcast clouds
157,Hibbing,US,47.4272,-92.9377,48.2,66,90,5.75,overcast clouds
158,Porto Uniao,BR,-26.2381,-51.0783,61.21,63,2,2.37,clear sky
159,Faanui,PF,-16.4833,-151.75,80.53,74,73,10.96,light rain
160,Nantucket,US,41.2835,-70.0995,51.8,58,1,28.77,clear sky
161,Flinders,AU,-34.5833,150.8552,48.99,81,86,1.01,overcast clouds
162,Rognan,NO,67.0953,15.3878,34.0,75,68,1.48,broken clouds
163,Sinnamary,GF,5.3833,-52.95,77.86,87,100,12.95,light rain
164,Candelaria,PH,13.9311,121.4233,80.01,78,47,1.01,scattered clouds
165,Puerto Quijarro,BO,-17.7833,-57.7667,92.12,32,23,4.41,few clouds
166,Dwarka,IN,22.2394,68.9678,81.07,80,100,14.29,overcast clouds
167,Ventspils,LV,57.3894,21.5606,39.2,75,0,10.36,clear sky
168,Emba,KZ,48.8264,58.1442,53.64,41,100,15.61,overcast clouds
169,Vangaindrano,MG,-23.35,47.6,70.12,91,74,0.89,light rain
170,Floro,NO,61.5996,5.0328,39.2,60,40,12.66,scattered clouds
171,Razole,IN,16.4833,81.8333,78.42,87,75,1.61,broken clouds
172,Libreville,GA,0.3925,9.4537,79.21,82,12,8.05,few clouds
173,Hilo,US,19.7297,-155.09,75.2,78,90,4.61,moderate rain
174,Synya,RU,65.3718,58.0387,37.42,95,96,4.21,overcast clouds
175,Falam,MM,22.9167,93.6833,61.07,52,94,4.72,overcast clouds
176,Antalaha,MG,-14.9003,50.2788,73.11,92,99,5.55,overcast clouds
177,Bud,US,39.447,-86.1758,60.01,41,90,10.36,overcast clouds
178,Marovoay,MG,-16.1,46.6333,73.4,88,64,4.7,broken clouds
179,Cairns,AU,-16.9167,145.7667,75.2,78,100,12.66,overcast clouds
180,General Roca,AR,-39.0333,-67.5833,69.8,35,0,8.05,clear sky
181,Tasiilaq,GL,65.6145,-37.6368,39.2,45,90,5.75,overcast clouds
182,Gat,IL,31.61,34.7642,66.0,100,69,4.68,broken clouds
183,Ridge,US,40.894,-72.8959,61.0,21,1,21.85,clear sky
184,Dhidhdhoo,MV,6.8833,73.1,83.16,75,6,7.02,clear sky
185,Gladstone,AU,-23.85,151.25,66.2,63,98,5.75,overcast clouds
186,Brae,GB,60.3964,-1.353,44.6,81,99,5.75,overcast clouds
187,Inhambane,MZ,-23.865,35.3833,68.99,81,68,4.59,moderate rain
188,Uthal,PK,25.8072,66.6219,82.81,51,0,6.15,clear sky
189,Airai,TL,-8.9266,125.4092,57.18,88,25,2.64,scattered clouds
190,Mandera,KE,3.9366,41.867,84.43,59,87,3.38,overcast clouds
191,Potosi,BO,-19.5836,-65.7531,53.58,28,88,15.19,overcast clouds
192,Agadez,NE,19.75,10.25,88.77,13,81,9.4,broken clouds
193,Rockhampton,AU,-23.3833,150.5,66.2,82,90,1.14,overcast clouds
194,Pevek,RU,69.7008,170.3133,10.36,91,52,4.36,broken clouds
195,Antsohihy,MG,-14.8796,47.9875,72.79,92,96,3.62,overcast clouds
196,Storforshei,NO,66.4043,14.5233,33.8,64,75,4.61,broken clouds
197,Bend,US,44.0582,-121.3153,64.4,13,1,3.44,clear sky
198,Dalnegorsk,RU,44.5604,135.5701,53.85,79,100,6.02,overcast clouds
199,Alenquer,BR,-1.9417,-54.7383,84.2,74,20,5.75,few clouds
200,Korla,CN,41.7597,86.1469,44.55,61,45,10.83,scattered clouds
201,San Andres,CO,12.5847,-81.7006,87.8,58,20,13.8,few clouds
202,Saint-Pierre,RE,-21.3393,55.4781,77.0,73,75,5.75,broken clouds
203,Westport,US,41.1415,-73.3579,62.6,20,1,18.41,clear sky
204,Deputatskiy,RU,69.3,139.9,-1.19,92,28,3.51,scattered clouds
205,Kalmunai,LK,7.4167,81.8167,80.06,80,3,1.68,clear sky
206,Taltal,CL,-25.4,-70.4833,64.44,73,13,5.03,few clouds
207,Bambous Virieux,MU,-20.3428,57.7575,78.8,78,75,10.36,light rain
208,Saldanha,ZA,-33.0117,17.9442,59.0,77,77,5.75,broken clouds
209,Katsuura,JP,35.1333,140.3,51.8,76,40,6.91,scattered clouds
210,Port Elizabeth,ZA,-33.918,25.5701,62.6,88,40,9.22,scattered clouds
211,Lagoa,PT,39.05,-27.9833,57.81,74,10,33.64,clear sky
212,Sayyan,YE,15.1718,44.3244,60.13,29,5,3.24,clear sky
213,Wladyslawowo,PL,54.7909,18.4009,37.0,60,0,1.14,clear sky
214,Dingle,PH,10.9995,122.6711,76.15,84,100,3.6,moderate rain
215,Port Maria,JM,18.3685,-76.8895,82.99,77,25,8.01,scattered clouds
216,Bon Air,US,37.5249,-77.5578,64.99,25,1,6.91,clear sky
217,Itarema,BR,-2.9248,-39.9167,79.7,79,28,11.79,scattered clouds
218,La Palma,US,33.8464,-118.0467,66.99,59,90,8.05,overcast clouds
219,Pemangkat,ID,1.1667,108.9667,78.1,81,67,7.14,broken clouds
220,Najran,SA,17.4924,44.1277,80.6,16,0,4.61,clear sky
221,Vilhena,BR,-12.7406,-60.1458,84.2,65,40,5.75,scattered clouds
222,Rabo De Peixe,PT,37.8,-25.5833,59.0,72,40,17.27,scattered clouds
223,Simoes,BR,-7.5989,-40.8178,80.87,61,75,3.91,broken clouds
224,Vostok,RU,46.4856,135.8833,40.96,85,100,6.4,overcast clouds
225,Talnakh,RU,69.4865,88.3972,31.51,97,100,10.27,snow
226,Chillicothe,US,39.3331,-82.9824,60.01,24,90,11.5,overcast clouds
227,Mogadishu,SO,2.0371,45.3438,82.98,73,72,12.77,broken clouds
228,Amuntai,ID,-2.4177,115.2494,71.73,98,77,0.09,broken clouds
229,Hofn,IS,64.2539,-15.2082,44.6,87,75,2.3,broken clouds
